DATE,CODE,NAME,WEBSITE LINK, LAST 12 MONTHS Low,LAST 12 MONTHS High,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
04-01-21,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN, 36.00 , 58.00 , 38.00 , 38.00 , 38.00 , 38.00 , - ,-,-,
04-01-21,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL, 1.26 , 2.43 , 1.40 , 1.45 , 1.40 , 1.38 , 0.02 ,1.45%,18800,
04-01-21,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT, 7.80 , 16.00 , 11.00 , 11.00 , 11.00 , 11.00 , - ,-,-,
04-01-21,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN, 4.40 , 6.28 , 4.60 , 4.78 , 4.67 , 4.71 , (0.04),0.85%,33100,
04-01-21,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4, 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , - ,-,-,
04-01-21,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , - ,-,-,
04-01-21,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC, 1.16 , 2.50 , 1.68 , 1.73 , 1.71 , 1.71 , - ,-,1064600,
04-01-21,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL, 21.00 , 27.50 , 24.00 , 24.00 , 24.00 , 24.00 , - ,-,5000,
04-01-21,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME, 6.18 , 8.60 , 7.28 , 7.30 , 7.30 , 7.28 , 0.02 ,0.27%,1800,
04-01-21,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT, 6.00 , 10.65 , 7.00 , 7.26 , 7.00 , 7.26 , (0.26),3.58%,510400,
04-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC, 1.95 , 2.65 , 2.10 , 2.15 , 2.11 , 2.13 , (0.02),0.94%,40100,
04-01-21,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB, 210.00 , 296.00 , 272.25 , 285.00 , 275.75 , 284.00 , (8.25),2.90%,3900,
04-01-21,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE, 2.00 , 3.00 , 2.30 , 2.40 , 2.31 , 2.32 , (0.01),0.43%,160400,
04-01-21,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY, 6.80 , 10.50 , 7.70 , 7.70 , 7.70 , 7.70 , - ,-,-,
04-01-21,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM, 9.50 , 16.50 , 13.00 , 13.00 , 13.00 , 12.95 , 0.05 ,0.39%,4300,
04-01-21,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM, 15.15 , 27.80 , 16.20 , 16.50 , 16.45 , 16.05 , 0.40 ,2.49%,36700,
04-01-21,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR, 0.30 , 0.53 , 0.41 , 0.44 , 0.42 , 0.42 , - ,-,24000,
04-01-21,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 ", - ,-,-,
04-01-21,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH, 1.81 , 2.60 , 2.20 , 2.20 , 2.20 , 2.20 , - ,-,100,
04-01-21,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL, 1.08 , 2.68 , 1.45 , 1.49 , 1.48 , 1.45 , 0.03 ,2.07%,30000,
04-01-21,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE, 6.50 , 9.98 , 8.26 , 8.40 , 8.30 , 8.16 , 0.14 ,1.72%,5500,
04-01-21,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC, 53.00 , 72.00 , 63.00 , 63.00 , 63.00 , 63.00 , - ,-,-,
04-01-21,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT, 305.00 , 500.00 , 361.00 , 361.00 , 361.00 , 361.00 , - ,-,-,
04-01-21,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB, 7.80 , 13.00 , 12.05 , 12.30 , 12.10 , 12.10 , - ,-,126200,
04-01-21,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL, 143.25 , 185.00 , 154.00 , 156.00 , 154.00 , 154.25 , (0.25),0.16%,168800,
04-01-21,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH, 0.76 , 2.01 , 1.21 , 1.23 , 1.23 , 1.23 , - ,-,2900,
04-01-21,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH, 10.40 , 12.25 , 10.50 , 10.50 , 10.50 , 10.50 , - ,-,-,
04-01-21,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA, 26.10 , 33.00 , 31.80 , 31.80 , 31.80 , 31.80 , - ,-,-,
04-01-21,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM, 25.95 , 39.95 , 34.00 , 34.50 , 34.25 , 34.25 , - ,-,3591000,
04-01-21,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR, 4.98 , 9.16 , 5.64 , 6.08 , 5.84 , 5.64 , 0.20 ,3.55%,9000,
04-01-21,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD," 1,615.00 "," 2,100.00 "," 1,975.00 "," 1,975.00 "," 1,975.00 "," 1,975.00 ", - ,-,-,
04-01-21,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15, 152.56 , 195.36 , 177.47 , 179.97 , 177.94 , 178.15 , (0.21),0.12%,-,
04-01-21,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25, 167.57 , 221.63 , 196.90 , 198.69 , 197.70 , 197.58 , 0.12 ,0.06%,-,
04-01-21,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I," 1,723.96 "," 2,060.11 "," 1,872.42 "," 1,872.42 "," 1,872.42 "," 1,868.39 ", 4.03 ,0.22%,-,
04-01-21,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I," 2,935.01 "," 3,736.79 "," 3,410.11 "," 3,410.11 "," 3,410.11 "," 3,415.24 ", (5.13),0.15%,-,
04-01-21,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI, 127.01 , 169.11 , 152.04 , 152.04 , 152.04 , 152.11 , (0.07),0.05%,-,
04-01-21,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK," 1,511.03 "," 1,980.09 "," 1,781.47 "," 1,781.47 "," 1,781.47 "," 1,781.30 ", 0.17 ,0.01%,-,
04-01-21,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU," 1,201.29 "," 1,552.69 "," 1,403.33 "," 1,403.33 "," 1,403.33 "," 1,404.48 ", (1.15),0.08%,-,
05-01-21,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 8.20 , 14.50 , 12.50 , 12.50 , 12.50 , 12.50 , - ,-,-,
05-01-21,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 301.00 , 397.00 , 365.00 , 365.00 , 365.00 , 365.00 , - ,-,-,
