DATE,CODE,NAME,WEBSITE LINK,  LAST 12 MONTHS Low , LAST 12 MONTHS High , DAY'S TRADING Low , DAY'S TRADING High , DAY'S TRADING VWAP Price , Previous DAY'S VWAP Price ,  Change  ,,Volume of Shares Traded, VWAP Adjusted Price for bonus issues and share splits 
16-08-18,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL, 148.00 , 194.00 , 208.00 , 214.00 , 213.00 , 214.00 , (1.00),0.47%,1830200, - 
16-08-18,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH, 1.10 , 1.54 , 3.90 , 4.00 , 3.90 , 3.65 , 0.25 ,6.85%,21200, - 
16-08-18,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH, 10.40 , 12.25 , 82.00 , 82.00 , 82.00 , 82.00 ,  -  ,-,-, - 
16-08-18,MSC,Mumias Sugar Company Ltd,https://live.mystocks.co.ke/stock=MSC, - , - , 0.75 , 0.80 , 0.75 , 0.75 ,  -  ,-,165000, - 
16-08-18,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA, 26.10 , 33.00 , 40.00 , 40.00 , 40.00 , 39.00 , 1.00 ,2.56%,5300, - 
16-08-18,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM, 25.95 , 43.45 , 28.75 , 29.00 , 28.75 , 29.00 , (0.25),0.86%,6699800, - 
16-08-18,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR, 4.98 , 7.10 , 10.10 , 10.25 , 10.15 , 10.25 , (0.10),0.98%,6500, - 
16-08-18,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD," 1,835.00 "," 2,100.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 ",  -  ,-,-, - 
16-08-18,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15, 152.56 , 213.26 , 217.41 , 220.99 , 218.35 , 220.99 , (2.64),1.19%,-, - 
16-08-18,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25, 167.57 , 235.67 , 224.82 , 227.83 , 226.00 , 227.46 , (1.46),0.64%,-, - 
16-08-18,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I," 1,723.96 "," 1,951.41 "," 3,334.67 "," 3,334.67 "," 3,334.67 "," 3,323.88 ", 10.79 ,0.32%,-, - 
16-08-18,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I," 2,935.01 "," 3,866.74 "," 4,508.31 "," 4,508.31 "," 4,508.31 "," 4,540.10 ", (31.79),0.70%,-, - 
16-08-18,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI, 127.01 , 175.64 , 173.95 , 173.95 , 173.95 , 174.71 , (0.76),0.44%,-, - 
16-08-18,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK," 1,511.03 "," 2,182.08 "," 2,021.34 "," 2,021.34 "," 2,021.34 "," 2,037.71 ", (16.37),0.80%,-, - 
16-08-18,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU," 1,201.29 "," 1,740.41 "," 1,727.41 "," 1,727.41 "," 1,727.41 "," 1,740.54 ", (13.13),0.75%,-, - 
17-08-18,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 9.00 , 15.00 , 20.25 , 20.25 , 20.25 , 20.25 ,  -  ,-,-, - 
17-08-18,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 328.00 , 405.00 , 320.00 , 320.00 , 320.00 , 320.00 ,  -  ,-,2000, - 
17-08-18,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 68.50 , 99.00 , 99.00 , 99.00 , 99.00 , 98.50 , 0.50 ,0.51%,500, - 
17-08-18,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 295.00 , 400.00 , 500.00 , 500.00 , 500.00 , 500.00 ,  -  ,-,-, - 
17-08-18,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 16.00 , 20.00 , 21.75 , 22.00 , 21.75 , 22.00 , (0.25),1.14%,900, - 
17-08-18,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 119.00 , 154.75 , 170.00 , 172.00 , 170.00 , 174.00 , (4.00),2.30%,14600, - 
17-08-18,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN, 20.00 , 30.00 , 18.00 , 18.00 , 18.00 , 18.00 ,  -  ,-,-, - 
17-08-18,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA, 8.50 , 10.80 , 11.85 , 12.30 , 12.00 , 12.15 , (0.15),1.23%,130100, - 
17-08-18,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP, 10.20 , 14.05 , 17.00 , 17.25 , 17.10 , 17.05 , 0.05 ,0.29%,125800, - 
17-08-18,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK, 57.50 , 78.50 , 194.00 , 194.00 , 194.00 , 194.00 ,  -  ,-,-, - 
17-08-18,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY, 28.00 , 49.45 , 49.75 , 51.50 , 50.00 , 49.75 , 0.25 ,0.50%,103100, - 
