DATE,CODE,NAME,WEBSITE LINK,  LAST 12 MONTHS Low , LAST 12 MONTHS High , DAY'S TRADING Low , DAY'S TRADING High , DAY'S TRADING VWAP Price , Previous DAY'S VWAP Price ,  Change  ,,Volume of Shares Traded, VWAP Adjusted Price for bonus issues and share splits 
01-08-18,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 9.00 , 15.00 , 18.60 , 18.60 , 18.60 , 18.60 ,  -  ,-,-, - 
01-08-18,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 328.00 , 405.00 , 320.00 , 320.00 , 320.00 , 320.00 ,  -  ,-,-, - 
01-08-18,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 68.50 , 94.50 , 72.00 , 72.00 , 72.00 , 72.00 ,  -  ,-,-, - 
01-08-18,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 300.00 , 400.00 , 500.00 , 500.00 , 500.00 , 500.00 ,  -  ,-,-, - 
01-08-18,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 16.00 , 20.00 , 19.50 , 20.75 , 20.25 , 19.25 , 1.00 ,5.19%,5800, - 
01-08-18,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 119.00 , 154.75 , 135.00 , 135.00 , 135.00 , 135.00 ,  -  ,-,-, - 
01-08-18,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN, 20.00 , 28.75 , 17.90 , 17.90 , 17.90 , 17.90 ,  -  ,-,-, - 
01-08-18,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA, 8.50 , 10.80 , 11.60 , 11.75 , 11.60 , 11.55 , 0.05 ,0.43%,103000, - 
01-08-18,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP, 10.20 , 14.05 , 16.95 , 17.10 , 16.95 , 16.95 ,  -  ,-,214100, - 
01-08-18,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK, 57.50 , 78.50 , 197.00 , 197.00 , 197.00 , 200.00 , (3.00),1.50%,500, - 
01-08-18,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY, 28.00 , 49.45 , 48.00 , 50.00 , 48.50 , 48.00 , 0.50 ,1.04%,2166900, - 
01-08-18,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK, 2.86 , 5.48 , 7.95 , 8.00 , 7.98 , 8.02 , (0.04),0.50%,49300, - 
01-08-18,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH, 20.50 , 27.25 , 115.00 , 115.00 , 115.00 , 110.00 , 5.00 ,4.55%,800, 28.75 
01-08-18,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB, 30.00 , 47.00 , 47.00 , 47.50 , 47.25 , 46.75 , 0.50 ,1.07%,523200, - 
01-08-18,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK, 4.12 , 4.12 , 5.60 , 5.80 , 5.65 , 5.80 , (0.15),2.59%,5100, - 
01-08-18,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA, 20.00 , 27.85 , 33.50 , 34.50 , 34.00 , 34.75 , (0.75),2.16%,29500, 30.91 
01-08-18,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC, 72.25 , 92.00 , 90.50 , 92.00 , 91.50 , 93.50 , (2.00),2.14%,1300, - 
01-08-18,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK, 127.00 , 170.00 , 200.00 , 203.00 , 200.75 , 203.50 , (2.75),1.35%,400, - 
01-08-18,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON, 0.45 , 0.45 , 1.25 , 1.25 , 1.25 , 1.25 ,  -  ,-,4600, - 
01-08-18,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD, 0.85 , 1.50 , 1.35 , 1.35 , 1.35 , 1.35 ,  -  ,-,500, - 
01-08-18,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS, 2.50 , 4.87 , 5.40 , 5.40 , 5.40 , 5.40 ,  -  ,-,-, - 
01-08-18,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ, 3.83 , 3.83 , 9.70 , 9.75 , 9.70 , 10.10 , (0.40),3.96%,12300, - 
01-08-18,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL, 3.70 , 5.00 , 4.60 , 4.60 , 4.60 , 4.30 , 0.30 ,6.98%,34000, - 
01-08-18,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV, 0.54 , 13.80 , 2.25 , 2.25 , 2.25 , 2.25 ,  -  ,-,-, - 
01-08-18,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG, 9.00 , 26.05 , 88.00 , 90.00 , 88.00 , 89.50 , (1.50),1.68%,15000, - 
01-08-18,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER, 2.46 , 4.62 , 2.80 , 3.00 , 2.95 , 2.80 , 0.15 ,5.36%,54400, - 
01-08-18,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL, 15.00 , 26.50 , 30.00 , 30.00 , 30.00 , 27.50 , 2.50 ,9.09%,100, - 
01-08-18,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE, 12.55 , 18.00 , 28.00 , 28.00 , 28.00 , 30.00 , (2.00),6.67%,11300, - 
01-08-18,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM, 0.20 , 0.40 , 1.50 , 1.60 , 1.55 , 1.60 , (0.05),3.13%,19900, - 
01-08-18,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN, 4.80 , 21.50 , 15.50 , 16.90 , 16.50 , 16.00 , 0.50 ,3.13%,2963100, - 
01-08-18,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM, 5.55 , 5.55 , 4.25 , 4.40 , 4.30 , 4.25 , 0.05 ,1.18%,416000, - 
01-08-18,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB, 19.05 , 47.05 , 180.00 , 180.00 , 180.00 , 180.00 ,  -  ,-,600, - 
01-08-18,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN, 26.00 , 49.00 , 54.00 , 54.00 , 54.00 , 54.00 ,  -  ,-,100, - 
01-08-18,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL, 1.18 , 2.43 , 3.60 , 3.70 , 3.65 , 3.50 , 0.15 ,4.29%,15400, - 
01-08-18,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT, 7.20 , 16.00 , 20.50 , 20.50 , 20.50 , 20.50 ,  -  ,-,9800, - 
01-08-18,KENO,KenolKobil Ltd,https://live.mystocks.co.ke/stock=KENO, 12.80 , 23.00 , 17.90 , 18.30 , 18.10 , 17.95 , 0.15 ,0.84%,20100, - 
01-08-18,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN, 3.90 , 6.28 , 6.40 , 6.60 , 6.45 , 6.50 , (0.05),0.77%,693500, - 
01-08-18,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4, 4.50 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 ,  -  ,-,-, - 
01-08-18,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , 6.00 ,  -  ,-,-, - 
01-08-18,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC, 1.16 , 2.12 , 6.20 , 6.30 , 6.25 , 6.30 , (0.05),0.79%,521600, - 
01-08-18,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL, 21.00 , 26.75 , 31.00 , 32.75 , 31.75 , 30.00 , 1.75 ,5.83%,204100, - 
01-08-18,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME, 5.40 , 8.00 , 8.95 , 8.95 , 8.95 , 8.95 ,  -  ,-,-, - 
01-08-18,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT, 6.00 , 8.04 , 14.40 , 14.60 , 14.45 , 14.45 ,  -  ,-,48800, - 
01-08-18,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC, 1.95 , 3.50 , 4.70 , 5.00 , 4.75 , 4.70 , 0.05 ,1.06%,98600, - 
01-08-18,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB, 210.00 , 392.00 , 500.00 , 500.00 , 500.00 , 500.00 ,  -  ,-,1900, - 
01-08-18,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE, 2.00 , 2.94 , 16.00 , 16.50 , 16.45 , 16.30 , 0.15 ,0.92%,6900, 4.11 
01-08-18,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY, 6.60 , 10.50 , 12.25 , 13.10 , 12.90 , 13.05 , (0.15),1.15%,17300, - 
01-08-18,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM, 9.00 , 14.00 , 24.50 , 25.00 , 24.75 , 24.75 ,  -  ,-,12900, - 
01-08-18,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM, 14.40 , 25.00 , 33.00 , 34.50 , 33.95 , 33.30 , 0.65 ,1.95%,90000, - 
01-08-18,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR, 0.33 , 0.50 , 0.80 , 0.85 , 0.80 , 0.80 ,  -  ,-,72200, - 
01-08-18,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 ",  -  ,-,-, - 
01-08-18,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH, 1.63 , 2.60 , 3.55 , 3.55 , 3.55 , 3.35 , 0.20 ,5.97%,500, - 
01-08-18,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL, 1.01 , 2.68 , 3.60 , 3.60 , 3.60 , 3.80 , (0.20),5.26%,500, - 
01-08-18,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE, 6.50 , 9.74 , 16.95 , 17.50 , 17.05 , 17.00 , 0.05 ,0.29%,2200, - 
01-08-18,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC, 54.00 , 75.25 , 72.00 , 72.00 , 72.00 , 72.00 ,  -  ,-,-, - 
01-08-18,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT, 305.00 , 500.00 , 620.00 , 660.00 , 639.00 , 620.00 , 19.00 ,3.06%,2500, - 
01-08-18,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB, 7.80 , 13.00 , 11.00 , 12.00 , 11.00 , 11.00 ,  -  ,-,4100, - 
01-08-18,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL, 148.00 , 194.00 , 220.00 , 225.00 , 224.00 , 225.00 , (1.00),0.44%,426800, - 
01-08-18,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH, 1.10 , 1.54 , 3.55 , 3.75 , 3.60 , 3.80 , (0.20),5.26%,500, - 
01-08-18,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH, 10.40 , 12.25 , 82.00 , 82.00 , 82.00 , 82.00 ,  -  ,-,-, - 
01-08-18,MSC,Mumias Sugar Company Ltd,https://live.mystocks.co.ke/stock=MSC, - , - , 0.70 , 0.75 , 0.70 , 0.70 ,  -  ,-,841200, - 
01-08-18,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA, 26.10 , 33.00 , 40.00 , 40.00 , 40.00 , 38.00 , 2.00 ,5.26%,4800, - 
01-08-18,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM, 25.95 , 43.45 , 27.75 , 28.50 , 27.75 , 28.00 , (0.25),0.89%,4549500, - 
01-08-18,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR, 4.98 , 7.10 , 10.50 , 11.50 , 10.55 , 11.60 , (1.05),9.05%,23700, - 
01-08-18,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD," 1,835.00 "," 2,100.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 ",  -  ,-,-, - 
01-08-18,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15, 152.56 , 213.26 , 214.76 , 217.64 , 215.31 , 214.86 , 0.45 ,0.21%,-, - 
01-08-18,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25, 167.57 , 235.67 , 221.51 , 224.37 , 221.68 , 222.15 , (0.47),0.21%,-, - 
01-08-18,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I," 1,723.96 "," 1,953.37 "," 3,304.84 "," 3,304.84 "," 3,304.84 "," 3,296.68 ", 8.16 ,0.25%,-, - 
01-08-18,^N25I,NSE 25-Share Index,https://live.mystocks.co.ke/stock=%255EN25I," 2,935.01 "," 3,866.74 "," 4,433.92 "," 4,433.92 "," 4,433.92 "," 4,428.65 ", 5.27 ,0.12%,-, - 
01-08-18,^NASI,NSE All-Share Index,https://live.mystocks.co.ke/stock=%255ENASI, 127.01 , 175.64 , 169.93 , 169.93 , 169.93 , 170.46 , (0.53),0.31%,-, - 
01-08-18,^ZKEQTK,Zamara Kenya Equity Index (KES),https://live.mystocks.co.ke/stock=%255EZKEQTK," 1,511.03 "," 2,182.08 "," 1,995.17 "," 1,995.17 "," 1,995.17 "," 1,990.53 ", 4.64 ,0.23%,-, - 
01-08-18,^ZKEQTU,Zamara Kenya Equity Index (USD),https://live.mystocks.co.ke/stock=%255EZKEQTU," 1,201.29 "," 1,740.41 "," 1,711.00 "," 1,711.00 "," 1,711.00 "," 1,706.17 ", 4.83 ,0.28%,-, - 
02-08-18,EGAD,Eaagads Ltd,https://live.mystocks.co.ke/stock=EGAD, 9.00 , 15.00 , 18.60 , 18.60 , 18.60 , 18.60 ,  -  ,-,-, - 
02-08-18,KUKZ,Kakuzi Plc,https://live.mystocks.co.ke/stock=KUKZ, 325.00 , 405.00 , 320.00 , 320.00 , 320.00 , 320.00 ,  -  ,-,70000, - 
02-08-18,KAPC,Kapchorua Tea Kenya Plc,https://live.mystocks.co.ke/stock=KAPC, 68.50 , 94.50 , 75.50 , 90.00 , 76.00 , 72.00 , 4.00 ,5.56%,22000, - 
02-08-18,LIMT,Limuru Tea Plc,https://live.mystocks.co.ke/stock=LIMT, 300.00 , 400.00 , 500.00 , 500.00 , 500.00 , 500.00 ,  -  ,-,100, - 
02-08-18,SASN,Sasini Plc,https://live.mystocks.co.ke/stock=SASN, 16.00 , 20.00 , 20.25 , 20.25 , 20.25 , 20.25 ,  -  ,-,-, - 
02-08-18,WTK,Williamson Tea Kenya Plc,https://live.mystocks.co.ke/stock=WTK, 119.00 , 154.75 , 140.00 , 170.00 , 169.00 , 135.00 , 34.00 ,25.19%,200700, - 
02-08-18,CGEN,Car and General (K) Ltd,https://live.mystocks.co.ke/stock=CGEN, 20.00 , 28.75 , 18.00 , 18.00 , 18.00 , 17.90 , 0.10 ,0.56%,5400, - 
02-08-18,ABSA,ABSA Bank Kenya Plc,https://live.mystocks.co.ke/stock=ABSA, 8.50 , 10.80 , 11.60 , 12.00 , 11.60 , 11.60 ,  -  ,-,866600, - 
02-08-18,COOP,Co-operative Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=COOP, 10.20 , 14.05 , 16.95 , 17.05 , 16.95 , 16.95 ,  -  ,-,93800, - 
02-08-18,DTK,Diamond Trust Bank Kenya Ltd,https://live.mystocks.co.ke/stock=DTK, 57.50 , 78.50 , 197.00 , 200.00 , 198.00 , 197.00 , 1.00 ,0.51%,45400, - 
02-08-18,EQTY,Equity Group Holdings Plc,https://live.mystocks.co.ke/stock=EQTY, 28.00 , 48.00 , 49.00 , 49.50 , 49.25 , 48.50 , 0.75 ,1.55%,25700, - 
02-08-18,HFCK,HF Group Ltd,https://live.mystocks.co.ke/stock=HFCK, 2.86 , 5.48 , 8.05 , 8.50 , 8.44 , 7.98 , 0.46 ,5.76%,52900, - 
02-08-18,IMH,I & M Holdings Plc,https://live.mystocks.co.ke/stock=IMH, 20.50 , 27.25 , 115.00 , 115.00 , 115.00 , 115.00 ,  -  ,-,-, 28.75 
02-08-18,KCB,KCB Group Plc,https://live.mystocks.co.ke/stock=KCB, 30.00 , 44.35 , 47.25 , 48.00 , 47.75 , 47.25 , 0.50 ,1.06%,1580200, - 
02-08-18,NBK,National Bank of Kenya Ltd,https://live.mystocks.co.ke/stock=NBK, 4.12 , 4.12 , 5.70 , 5.90 , 5.85 , 5.65 , 0.20 ,3.54%,21900, - 
02-08-18,NCBA,NCBA Group Plc,https://live.mystocks.co.ke/stock=NCBA, 20.00 , 27.85 , 34.00 , 35.00 , 34.25 , 34.00 , 0.25 ,0.74%,11600, 31.14 
02-08-18,SBIC,Stanbic Holdings Plc,https://live.mystocks.co.ke/stock=SBIC, 72.25 , 92.00 , 91.50 , 93.00 , 91.50 , 91.50 ,  -  ,-,3300, - 
02-08-18,SCBK,Standard Chartered Bank Kenya Ltd,https://live.mystocks.co.ke/stock=SCBK, 127.00 , 170.00 , 200.00 , 202.00 , 200.75 , 200.75 ,  -  ,-,900, - 
02-08-18,DCON,Deacons (East Africa) Plc,https://live.mystocks.co.ke/stock=DCON, 0.45 , 0.45 , 1.25 , 1.35 , 1.25 , 1.25 ,  -  ,-,24300, - 
02-08-18,EVRD,Eveready East Africa Ltd,https://live.mystocks.co.ke/stock=EVRD, 0.85 , 1.50 , 1.35 , 1.45 , 1.35 , 1.35 ,  -  ,-,1900, - 
02-08-18,XPRS,Express Kenya Plc,https://live.mystocks.co.ke/stock=XPRS, 2.50 , 5.92 , 5.40 , 5.40 , 5.40 , 5.40 ,  -  ,-,-, - 
02-08-18,KQ,Kenya Airways Plc,https://live.mystocks.co.ke/stock=KQ, 3.83 , 3.83 , 9.75 , 10.30 , 9.85 , 9.70 , 0.15 ,1.55%,9900, - 
02-08-18,LKL,Longhorn Publishers Plc,https://live.mystocks.co.ke/stock=LKL, 3.70 , 5.00 , 4.35 , 4.65 , 4.50 , 4.60 , (0.10),2.17%,9500, - 
02-08-18,NBV,Nairobi Business Ventures Ltd,https://live.mystocks.co.ke/stock=NBV, 0.54 , 13.80 , 2.45 , 2.45 , 2.45 , 2.25 , 0.20 ,8.89%,300, - 
02-08-18,NMG,Nation Media Group Plc,https://live.mystocks.co.ke/stock=NMG, 9.00 , 26.05 , 89.00 , 93.00 , 90.00 , 88.00 , 2.00 ,2.27%,5300, - 
02-08-18,SMER,Sameer Africa Plc,https://live.mystocks.co.ke/stock=SMER, 2.46 , 4.62 , 2.80 , 2.90 , 2.85 , 2.95 , (0.10),3.39%,5600, - 
02-08-18,SGL,Standard Group Plc,https://live.mystocks.co.ke/stock=SGL, 15.00 , 26.50 , 28.25 , 30.00 , 29.00 , 30.00 , (1.00),3.33%,200, - 
02-08-18,TPSE,TPS Eastern Africa (Serena) Ltd,https://live.mystocks.co.ke/stock=TPSE, 12.50 , 18.00 , 27.00 , 28.00 , 27.50 , 28.00 , (0.50),1.79%,10000, - 
02-08-18,UCHM,Uchumi Supermarket Plc,https://live.mystocks.co.ke/stock=UCHM, 0.20 , 0.40 , 1.40 , 1.55 , 1.45 , 1.55 , (0.10),6.45%,52700, - 
02-08-18,SCAN,WPP ScanGroup Plc,https://live.mystocks.co.ke/stock=SCAN, 5.04 , 25.00 , 15.30 , 16.65 , 15.80 , 16.50 , (0.70),4.24%,2200, - 
02-08-18,ARM,ARM Cement Plc,https://live.mystocks.co.ke/stock=ARM, 5.55 , 5.55 , 4.30 , 4.50 , 4.40 , 4.30 , 0.10 ,2.33%,73500, - 
02-08-18,BAMB,Bamburi Cement Ltd,https://live.mystocks.co.ke/stock=BAMB, 19.05 , 47.05 , 180.00 , 180.00 , 180.00 , 180.00 ,  -  ,-,200, - 
02-08-18,CRWN,Crown Paints Kenya Plc,https://live.mystocks.co.ke/stock=CRWN, 30.00 , 49.00 , 54.00 , 54.00 , 54.00 , 54.00 ,  -  ,-,200, - 
02-08-18,CABL,East African Cables Ltd,https://live.mystocks.co.ke/stock=CABL, 1.18 , 2.43 , 3.50 , 3.65 , 3.55 , 3.65 , (0.10),2.74%,4000, - 
02-08-18,PORT,East African Portland Cement Ltd,https://live.mystocks.co.ke/stock=PORT, 7.20 , 16.00 , 20.50 , 20.50 , 20.50 , 20.50 ,  -  ,-,-, - 
02-08-18,KENO,KenolKobil Ltd,https://live.mystocks.co.ke/stock=KENO, 12.80 , 23.00 , 18.10 , 18.50 , 18.10 , 18.10 ,  -  ,-,2300, - 
02-08-18,KEGN,Kenya Electricity Generating Company Plc,https://live.mystocks.co.ke/stock=KEGN, 3.90 , 6.28 , 6.30 , 6.45 , 6.35 , 6.45 , (0.10),1.55%,482300, - 
02-08-18,KPLC-P4,KPLC-P4,https://live.mystocks.co.ke/stock=KPLC-P4, 4.50 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 ,  -  ,-,-, - 
02-08-18,KPLC-P7,KPLC-P7,https://live.mystocks.co.ke/stock=KPLC-P7, 6.00 , 6.00 , 6.00 , 6.00 , 6.00 , 6.00 ,  -  ,-,-, - 
02-08-18,KPLC,Kenya Power and Lighting Company Plc,https://live.mystocks.co.ke/stock=KPLC, 1.16 , 2.12 , 6.15 , 6.30 , 6.20 , 6.25 , (0.05),0.80%,230100, - 
02-08-18,TOTL,Total Kenya Ltd,https://live.mystocks.co.ke/stock=TOTL, 21.00 , 26.75 , 30.00 , 31.00 , 30.25 , 31.75 , (1.50),4.72%,3800, - 
02-08-18,UMME,Umeme Ltd,https://live.mystocks.co.ke/stock=UMME, 5.40 , 8.00 , 8.50 , 9.40 , 8.50 , 8.95 , (0.45),5.03%,510300, - 
02-08-18,BRIT,Britam Holdings Plc,https://live.mystocks.co.ke/stock=BRIT, 6.00 , 8.04 , 14.10 , 14.50 , 14.45 , 14.45 ,  -  ,-,34300, - 
02-08-18,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC, 1.95 , 3.10 , 4.70 , 4.90 , 4.85 , 4.75 , 0.10 ,2.11%,260700, - 
02-08-18,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB, 210.00 , 392.00 , 504.00 , 504.00 , 504.00 , 500.00 , 4.00 ,0.80%,100, - 
02-08-18,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE, 2.00 , 2.94 , 16.00 , 16.50 , 16.20 , 16.45 , (0.25),1.52%,32500, 4.05 
02-08-18,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY, 6.60 , 10.50 , 12.90 , 12.90 , 12.90 , 12.90 ,  -  ,-,5100, - 
02-08-18,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM, 9.00 , 14.00 , 24.00 , 24.50 , 24.25 , 24.75 , (0.50),2.02%,9900, - 
02-08-18,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM, 14.40 , 25.00 , 33.00 , 35.00 , 33.70 , 33.95 , (0.25),0.74%,36600, - 
02-08-18,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR, 0.33 , 0.50 , 0.80 , 0.85 , 0.80 , 0.80 ,  -  ,-,405200, - 
02-08-18,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 "," 1,500.00 ",  -  ,-,-, - 
02-08-18,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH, 1.63 , 2.60 , 3.30 , 3.55 , 3.50 , 3.55 , (0.05),1.41%,6700, - 
02-08-18,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL, 1.01 , 2.68 , 3.25 , 3.60 , 3.35 , 3.60 , (0.25),6.94%,3000, - 
02-08-18,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE, 6.50 , 9.74 , 16.80 , 17.00 , 16.95 , 17.05 , (0.10),0.59%,20900, - 
02-08-18,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC, 54.00 , 75.25 , 72.00 , 72.00 , 72.00 , 72.00 ,  -  ,-,-, - 
02-08-18,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT, 305.00 , 500.00 , 620.00 , 620.00 , 620.00 , 639.00 , (19.00),2.97%,3200, - 
02-08-18,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB, 7.80 , 13.00 , 12.00 , 12.00 , 12.00 , 11.00 , 1.00 ,9.09%,700, - 
02-08-18,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL, 148.00 , 194.00 , 224.00 , 225.00 , 224.00 , 224.00 ,  -  ,-,148900, - 
02-08-18,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH, 1.10 , 1.60 , 3.60 , 3.80 , 3.70 , 3.60 , 0.10 ,2.78%,5900, - 
02-08-18,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH, 10.40 , 12.25 , 82.00 , 82.00 , 82.00 , 82.00 ,  -  ,-,-, - 
02-08-18,MSC,Mumias Sugar Company Ltd,https://live.mystocks.co.ke/stock=MSC, - , - , 0.70 , 0.75 , 0.70 , 0.70 ,  -  ,-,346100, - 
02-08-18,UNGA,Unga Group Ltd,https://live.mystocks.co.ke/stock=UNGA, 26.10 , 33.00 , 38.00 , 40.00 , 38.75 , 40.00 , (1.25),3.13%,1600, - 
02-08-18,SCOM,Safaricom Plc,https://live.mystocks.co.ke/stock=SCOM, 25.95 , 43.45 , 28.00 , 28.50 , 28.00 , 27.75 , 0.25 ,0.90%,18662800, - 
02-08-18,FAHR,Stanlib Fahari Income-REIT,https://live.mystocks.co.ke/stock=FAHR, 4.98 , 7.10 , 10.00 , 10.60 , 10.10 , 10.55 , (0.45),4.27%,62600, - 
02-08-18,GLD,ABSA NewGold ETF,https://live.mystocks.co.ke/stock=GLD," 1,805.00 "," 2,100.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 "," 1,220.00 ",  -  ,-,-, - 
02-08-18,^FNK15,FTSE NSE Kenya 15 Index,https://live.mystocks.co.ke/stock=%255EFNK15, 152.56 , 209.38 , 215.31 , 217.74 , 216.55 , 215.31 , 1.24 ,0.58%,-, - 
02-08-18,^FNK25,FTSE NSE Kenya 25 Index,https://live.mystocks.co.ke/stock=%255EFNK25, 167.57 , 233.12 , 221.68 , 224.50 , 223.22 , 221.68 , 1.54 ,0.69%,-, - 
02-08-18,^N20I,NSE 20-Share Index,https://live.mystocks.co.ke/stock=%255EN20I," 1,723.96 "," 1,954.93 "," 3,298.63 "," 3,298.63 "," 3,298.63 "," 3,304.84 ", (6.21),0.19%,-, - 
