DATE,CODE,NAME,WEBSITE LINK,DAY'S TRADING Low,DAY'S TRADING High,DAY'S TRADING VWAP Price,Previous DAY'S VWAP Price,Change,Change Percent,Volume of Shares Traded,VWAP Adjusted Price for bonus issues and share splits
04-01-21,CIC,CIC Insurance Group Ltd,https://live.mystocks.co.ke/stock=CIC,2.1,2.15,2.11,2.13,-0.02,-0.94%,40100,
04-01-21,JUB,Jubilee Holdings Ltd,https://live.mystocks.co.ke/stock=JUB,272.25,285,275.75,284,-8.25,-2.90%,3900,
04-01-21,KNRE,Kenya Re-Insurance Corporation Ltd,https://live.mystocks.co.ke/stock=KNRE,2.3,2.4,2.31,2.32,-0.01,-0.43%,160400,
04-01-21,LBTY,Liberty Kenya Holdings Ltd,https://live.mystocks.co.ke/stock=LBTY,7.7,7.7,7.7,7.7,0,0.00%,-,
04-01-21,SLAM,Sanlam Kenya Plc,https://live.mystocks.co.ke/stock=SLAM,13,13,13,12.95,0.05,0.39%,4300,
04-01-21,CTUM,Centum Investment Company Plc,https://live.mystocks.co.ke/stock=CTUM,16.2,16.5,16.45,16.05,0.4,2.49%,36700,
04-01-21,HAFR,Home Afrika Ltd,https://live.mystocks.co.ke/stock=HAFR,0.41,0.44,0.42,0.42,0,0.00%,24000,
04-01-21,KURV,Kurwitu Ventures Ltd,https://live.mystocks.co.ke/stock=KURV,1500,1500,1500,1500,0,0.00%,-,
04-01-21,OCH,Olympia Capital Holdings Ltd,https://live.mystocks.co.ke/stock=OCH,2.2,2.2,2.2,2.2,0,0.00%,100,
04-01-21,TCL,Trans-Century Plc,https://live.mystocks.co.ke/stock=TCL,1.45,1.49,1.48,1.45,0.03,2.07%,30000,
04-01-21,NSE,Nairobi Securities Exchange Plc,https://live.mystocks.co.ke/stock=NSE,8.26,8.4,8.3,8.16,0.14,1.72%,5500,
04-01-21,BOC,BOC Kenya Plc,https://live.mystocks.co.ke/stock=BOC,63,63,63,63,0,0.00%,-,
04-01-21,BAT,British American Tobacco Kenya Plc,https://live.mystocks.co.ke/stock=BAT,361,361,361,361,0,0.00%,-,
04-01-21,CARB,Carbacid Investments Plc,https://live.mystocks.co.ke/stock=CARB,12.05,12.3,12.1,12.1,0,0.00%,126200,
04-01-21,EABL,East African Breweries Ltd,https://live.mystocks.co.ke/stock=EABL,154,156,154,154.25,-0.25,-0.16%,168800,
04-01-21,FTGH,Flame Tree Group Holdings Ltd,https://live.mystocks.co.ke/stock=FTGH,1.21,1.23,1.23,1.23,0,0.00%,2900,
04-01-21,ORCH,Kenya Orchards Ltd,https://live.mystocks.co.ke/stock=ORCH,10.5,10.5,10.5,10.5,0,0.00%,-,
